Try the new events page,,,,,
,Coatue Gen AI x Enterprise Hackathon @ AGI House,16 March,16 March,"San Francisco, CA",https://partiful.com/e/kEQfMgxPaDKJXgFNT6n5
,DreamXR ,14 March,16 March,"San Francisco, CA",https://dreamxr.co/
,AI Accelerated Learning Hackathon,9 March,10 March,"San Francisco, CA",https://partiful.com/e/RRVQ83WjLuFuz9aMx1mN?
,Openhome AI Voice Experiences Hackathon,2 March,2 March,"San Francisco, CA",https://partiful.com/e/aMZ0zLUyS4CI1Uz7Cv78
,AI Startup Hackathon,2 March,2 March,"San Francisco, CA",https://lu.ma/va2hgeeb
February,Bluesky AI Hackathon,25 February,25 February,"San Francisco, CA",https://partiful.com/e/AiscT5PsNTIrxNq58M5q
,AI in Motion: Lab Automation 24hr Hardware Hack,24 February,25 February,"San Francisco, CA",https://lu.ma/lab-auto-hack-0224
,OSS Hackathon: Functional Calling + RAG Hackathon,24 February,24 February,"San Francisco, CA",https://partiful.com/e/e3arTNNboImbIKdgQjHs
,Hardcore Hackathon,24 February,24 February,"San Francisco, CA",https://partiful.com/e/fwlokaFbQIAo1O75prau
,El Segundo Defense Tech Hackathon,17 February,18 February,"El Segundo, CA",https://lu.ma/defense2
,SF Public Data Hackathon,17 February,17 February,"San Francisco, CA",https://lu.ma/7mttq76t
,GPT Hackathon,10 February,10 February,"San Francisco, CA",https://lu.ma/f5bo1xqu
,LlamaIndex RAG Hackathon,2 February,4 February,"Santa Clara, CA",https://rag-a-thon.devpost.com/
January,GPT Store Hackathon By AgentOps.ai and Staf.ai,27 January,28 January,Remote,https://partiful.com/e/2b2K8hr5GK57cSFPnUUE
,LLM & Vector Search Hackathon @ AGI House,27 January,27 January,"San Francisco, CA",https://partiful.com/e/FiSdgG2vIKCCp2PW0g36
,FinTech AI Hackathon,26 January,28 January,"San Francisco, CA",https://partiful.com/e/9rMhnEquFKYalkSD8lWN
